Variable1,Variable2,CorrelationValue
Poverty_Rate,Poverty_Rate,1
Poverty_Rate,Median_Income,-0.632521088692282
Poverty_Rate,premature_death,0.312910239266581
Poverty_Rate,poor_health,0.281771291454774
Poverty_Rate,low_birthweight,0.253707909850772
Poverty_Rate,obesity,0.207543001183952
Poverty_Rate,diabetes,-0.157915133145407
Poverty_Rate,unemployment,0.194961762722563
Poverty_Rate,child_poverty,0.405143313753856
Poverty_Rate,income_inequality,0.215127717919026
Poverty_Rate,LowFoodAccess_Rate,-0.0206858232749107
Poverty_Rate,SNAP_Rate,0.68663537182262
Poverty_Rate,NoVehicle_Rate,0.284298842012891
Median_Income,Poverty_Rate,-0.632521088692282
Median_Income,Median_Income,1
Median_Income,premature_death,-0.381204904544805
Median_Income,poor_health,-0.311046879686765
Median_Income,low_birthweight,-0.198130563068724
Median_Income,obesity,-0.363696365819969
Median_Income,diabetes,0.0690707466048547
Median_Income,unemployment,-0.219650786088242
Median_Income,child_poverty,-0.388669779756076
Median_Income,income_inequality,0.0107434536366638
Median_Income,LowFoodAccess_Rate,0.00413023364802851
Median_Income,SNAP_Rate,-0.58940897343121
Median_Income,NoVehicle_Rate,-0.116435158218112
premature_death,Poverty_Rate,0.312910239266581
premature_death,Median_Income,-0.381204904544805
premature_death,premature_death,1
premature_death,poor_health,0.529988208632811
premature_death,low_birthweight,0.688959366997972
premature_death,obesity,0.617493235886633
premature_death,diabetes,-0.304753124707396
premature_death,unemployment,0.323688561887685
premature_death,child_poverty,0.71003012127379
premature_death,income_inequality,0.229955243088444
premature_death,LowFoodAccess_Rate,0.00593494318890841
premature_death,SNAP_Rate,0.296226880313479
premature_death,NoVehicle_Rate,0.0560946029009408
poor_health,Poverty_Rate,0.281771291454774
poor_health,Median_Income,-0.311046879686765
poor_health,premature_death,0.529988208632811
poor_health,poor_health,1
poor_health,low_birthweight,0.328745533415076
poor_health,obesity,0.305459637677413
poor_health,diabetes,-0.454638717382519
poor_health,unemployment,0.414916889468022
poor_health,child_poverty,0.708028277644204
poor_health,income_inequality,0.300568754501078
poor_health,LowFoodAccess_Rate,-0.00476492679196376
poor_health,SNAP_Rate,0.224680427516682
poor_health,NoVehicle_Rate,0.111333221257778
low_birthweight,Poverty_Rate,0.253707909850772
low_birthweight,Median_Income,-0.198130563068724
low_birthweight,premature_death,0.688959366997972
low_birthweight,poor_health,0.328745533415076
low_birthweight,low_birthweight,1
low_birthweight,obesity,0.394085110004766
low_birthweight,diabetes,-0.255110890370794
low_birthweight,unemployment,0.132958021035007
low_birthweight,child_poverty,0.552642046784005
low_birthweight,income_inequality,0.380843612317377
low_birthweight,LowFoodAccess_Rate,0.00529808281122322
low_birthweight,SNAP_Rate,0.261912356786056
low_birthweight,NoVehicle_Rate,0.145730140188816
obesity,Poverty_Rate,0.207543001183952
obesity,Median_Income,-0.363696365819969
obesity,premature_death,0.617493235886633
obesity,poor_health,0.305459637677413
obesity,low_birthweight,0.394085110004766
obesity,obesity,1
obesity,diabetes,0.0692455671874699
obesity,unemployment,0.233290889282992
obesity,child_poverty,0.411417893521362
obesity,income_inequality,-0.242439980797453
obesity,LowFoodAccess_Rate,0.00431707536817503
obesity,SNAP_Rate,0.223797287454883
obesity,NoVehicle_Rate,-0.0585607057589207
diabetes,Poverty_Rate,-0.157915133145407
diabetes,Median_Income,0.0690707466048547
diabetes,premature_death,-0.304753124707396
diabetes,poor_health,-0.454638717382519
diabetes,low_birthweight,-0.255110890370794
diabetes,obesity,0.0692455671874699
diabetes,diabetes,1
diabetes,unemployment,-0.203536695685594
diabetes,child_poverty,-0.385952831993466
diabetes,income_inequality,-0.343204625335432
diabetes,LowFoodAccess_Rate,0.00388033753492133
diabetes,SNAP_Rate,-0.0670144375405719
diabetes,NoVehicle_Rate,-0.109780986631778
unemployment,Poverty_Rate,0.194961762722563
unemployment,Median_Income,-0.219650786088242
unemployment,premature_death,0.323688561887685
unemployment,poor_health,0.414916889468022
unemployment,low_birthweight,0.132958021035007
unemployment,obesity,0.233290889282992
unemployment,diabetes,-0.203536695685594
unemployment,unemployment,1
unemployment,child_poverty,0.405600191106894
unemployment,income_inequality,0.121391500107906
unemployment,LowFoodAccess_Rate,-0.00156781799799659
unemployment,SNAP_Rate,0.184559577015407
unemployment,NoVehicle_Rate,0.0396960084866597
child_poverty,Poverty_Rate,0.405143313753856
child_poverty,Median_Income,-0.388669779756076
child_poverty,premature_death,0.71003012127379
child_poverty,poor_health,0.708028277644204
child_poverty,low_birthweight,0.552642046784005
child_poverty,obesity,0.411417893521362
child_poverty,diabetes,-0.385952831993466
child_poverty,unemployment,0.405600191106894
child_poverty,child_poverty,1
child_poverty,income_inequality,0.48302362886905
child_poverty,LowFoodAccess_Rate,-0.000363230027654705
child_poverty,SNAP_Rate,0.344741846107297
child_poverty,NoVehicle_Rate,0.182231820508808
income_inequality,Poverty_Rate,0.215127717919026
income_inequality,Median_Income,0.0107434536366638
income_inequality,premature_death,0.229955243088444
income_inequality,poor_health,0.300568754501078
income_inequality,low_birthweight,0.380843612317377
income_inequality,obesity,-0.242439980797453
income_inequality,diabetes,-0.343204625335432
income_inequality,unemployment,0.121391500107906
income_inequality,child_poverty,0.48302362886905
income_inequality,income_inequality,1
income_inequality,LowFoodAccess_Rate,-0.00191206777013126
income_inequality,SNAP_Rate,0.149814845149616
income_inequality,NoVehicle_Rate,0.246309008999807
LowFoodAccess_Rate,Poverty_Rate,-0.0206858232749107
LowFoodAccess_Rate,Median_Income,0.00413023364802851
LowFoodAccess_Rate,premature_death,0.00593494318890841
LowFoodAccess_Rate,poor_health,-0.00476492679196376
LowFoodAccess_Rate,low_birthweight,0.00529808281122322
LowFoodAccess_Rate,obesity,0.00431707536817503
LowFoodAccess_Rate,diabetes,0.00388033753492133
LowFoodAccess_Rate,unemployment,-0.00156781799799659
LowFoodAccess_Rate,child_poverty,-0.000363230027654705
LowFoodAccess_Rate,income_inequality,-0.00191206777013126
LowFoodAccess_Rate,LowFoodAccess_Rate,1
LowFoodAccess_Rate,SNAP_Rate,-0.0150755801296889
LowFoodAccess_Rate,NoVehicle_Rate,-0.0103859875189566
SNAP_Rate,Poverty_Rate,0.68663537182262
SNAP_Rate,Median_Income,-0.58940897343121
SNAP_Rate,premature_death,0.296226880313479
SNAP_Rate,poor_health,0.224680427516682
SNAP_Rate,low_birthweight,0.261912356786056
SNAP_Rate,obesity,0.223797287454883
SNAP_Rate,diabetes,-0.0670144375405719
SNAP_Rate,unemployment,0.184559577015407
SNAP_Rate,child_poverty,0.344741846107297
SNAP_Rate,income_inequality,0.149814845149616
SNAP_Rate,LowFoodAccess_Rate,-0.0150755801296889
SNAP_Rate,SNAP_Rate,1
SNAP_Rate,NoVehicle_Rate,0.481392036429701
NoVehicle_Rate,Poverty_Rate,0.284298842012891
NoVehicle_Rate,Median_Income,-0.116435158218112
NoVehicle_Rate,premature_death,0.0560946029009408
NoVehicle_Rate,poor_health,0.111333221257778
NoVehicle_Rate,low_birthweight,0.145730140188816
NoVehicle_Rate,obesity,-0.0585607057589207
NoVehicle_Rate,diabetes,-0.109780986631778
NoVehicle_Rate,unemployment,0.0396960084866597
NoVehicle_Rate,child_poverty,0.182231820508808
NoVehicle_Rate,income_inequality,0.246309008999807
NoVehicle_Rate,LowFoodAccess_Rate,-0.0103859875189566
NoVehicle_Rate,SNAP_Rate,0.481392036429701
NoVehicle_Rate,NoVehicle_Rate,1
